runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,1,160.08153392700478,None,space,1,160.08153392700478,None,161.78165603382513,None,161.78165603382513,None,j,0,1.1022910759784281,161.78165603382513,None,None,161.78165603382513,None,0.750151255633682,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,1,0,8,0,,,,,,,,,,,,,,,,,1,162.91504366975278,None,space,1,162.91504366975278,None,164.18162422487512,None,164.18162422487512,None,f,1,1.0051146317273378,164.18162422487512,None,None,164.18162422487512,None,0.7241819631308317,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,1,1,9,5,,,,,,,,,,,,,,,,,0,165.2149966317229,None,None,1,165.2149966317229,None,166.78158165700734,None,166.78158165700734,None,f,1,0.7338631837628782,166.78158165700734,None,None,166.78158165700734,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,1,2,10,1,,,,,,,,,,,,,,,,,0,167.54836596688256,None,None,1,167.54836596688256,None,169.29835715983063,None,169.29835715983063,None,f,1,0.6644715676084161,169.29835715983063,None,None,169.29835715983063,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,1,3,11,6,,,,,,,,,,,,,,,,,0,169.9816416730173,None,None,1,169.9816416730173,None,171.29845817293972,None,171.29845817293972,None,j,1,0.575658529996872,171.29845817293972,None,None,171.29845817293972,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,1,4,12,0,,,,,,,,,,,,,,,,,1,171.89865141361952,None,space,1,171.89865141361952,None,173.59846882568672,None,173.59846882568672,None,f,1,0.5998355709016323,173.59846882568672,None,None,173.59846882568672,None,0.509328427258879,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,1,5,13,2,,,,,,,,,,,,,,,,,0,174.21499447198585,None,None,1,174.21499447198585,None,175.5648446045816,None,175.5648446045816,None,j,1,0.6539055197499692,175.5648446045816,None,None,175.5648446045816,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,1,6,14,4,,,,,,,,,,,,,,,,,0,176.24827374657616,None,None,1,176.24827374657616,None,177.69829629175365,None,177.69829629175365,None,f,1,0.6414345670491457,177.69829629175365,None,None,177.69829629175365,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,1,7,15,2,,,,,,,,,,,,,,,,,0,178.36472177598625,None,None,1,178.36472177598625,None,179.8483620909974,None,179.8483620909974,None,j,1,0.6021946868859231,179.8483620909974,None,None,179.8483620909974,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,2,0,16,5,,,,,,,,,,,,,,,,,0,180.48153351759538,None,None,1,180.48153351759538,None,181.76532685291022,None,181.76532685291022,None,f,1,1.2157426681369543,181.76532685291022,None,None,181.76532685291022,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,2,1,17,6,,,,,,,,,,,,,,,,,0,182.99854022776708,None,None,1,182.99854022776708,None,184.56525433901697,None,184.56525433901697,None,j,1,0.6367273507639766,184.56525433901697,None,None,184.56525433901697,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
