runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,feedback_msg.started,feedback_msg.stopped,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fixpR2,participant,design,position,date,expName,psychopyVersion,frameRate,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,0,111.73824050899998,None,None,1,111.73824050899998,None,113.10489047800002,None,113.10489047800002,None,j,0,0.12352429299994583,113.10489047800002,None,None,113.10489047800002,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,0,113.25490269600004,None,None,1,113.25490269600004,None,114.85523955899998,None,114.85523955899998,None,j,0,0.10567872900014663,114.85523955899998,None,None,114.85523955899998,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,0,114.98857593900016,None,None,1,114.98857593900016,None,116.50535919899994,None,116.50535919899994,None,j,0,0.3005443029999242,116.50535919899994,None,None,116.50535919899994,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,0,116.82161416600002,None,None,1,116.82161416600002,None,118.238622115,None,118.238622115,None,j,0,0.25479137000002083,118.238622115,None,None,118.238622115,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,1,118.52159160300016,None,None,0,118.52159160300016,None,120.02207116299996,None,120.02207116299996,None,j,0,0.2488642499999969,120.02207116299996,None,None,120.02207116299996,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,1,0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,0,120.28826868100009,None,None,1,120.28826868100009,None,121.95527235100008,None,121.95527235100008,None,j,1,0.2502559019999353,121.95527235100008,None,None,121.95527235100008,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,1,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,0,122.2216044920001,None,None,1,122.2216044920001,None,123.95522877000008,None,123.95522877000008,None,j,0,0.2976275830001214,123.95522877000008,None,None,123.95522877000008,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,1,2,10,7,,,,,,,,,,,,,,,,,,,,,,,,,0,124.27155267900002,None,None,1,124.27155267900002,None,125.85506117600016,None,125.85506117600016,None,j,1,0.265710750000153,125.85506117600016,None,None,125.85506117600016,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,1,3,11,6,,,,,,,,,,,,,,,,,,,,,,,,,0,126.13849845899995,None,None,1,126.13849845899995,None,127.87165441299999,None,127.87165441299999,None,j,1,0.29634974300006434,127.87165441299999,None,None,127.87165441299999,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,1,4,12,5,,,,,,,,,,,,,,,,,,,,,,,,,0,128.18853114500007,None,None,1,128.18853114500007,None,129.73869733800007,None,129.73869733800007,None,j,0,0.34165494299986676,129.73869733800007,None,None,129.73869733800007,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,1,5,13,2,,,,,,,,,,,,,,,,,,,,,,,,,0,130.10524000300006,None,None,1,130.10524000300006,None,131.42205222999996,None,131.42205222999996,None,j,1,0.3688054420001663,131.42205222999996,None,None,131.42205222999996,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,1,6,14,7,,,,,,,,,,,,,,,,,,,,,,,,,1,131.82145795099996,None,None,0,131.82145795099996,None,133.32196303499995,None,133.32196303499995,None,j,1,0.1226093509999373,133.32196303499995,None,None,133.32196303499995,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,1,7,15,4,,,,,,,,,,,,,,,,,,,,,,,,,0,133.47172055200008,None,None,1,133.47172055200008,None,134.82187559900012,None,134.82187559900012,None,j,0,0.08510592800007544,134.82187559900012,None,None,134.82187559900012,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
